confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,ai_system,20.0,2.076,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.87,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,5.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,ai_system,5.0,0.67,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.604,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,ai_system,5.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,ai_system,5.0,0.786,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,ai_system,10.0,1.74,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,10.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,ai_system,10.0,0.9525,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,10.0,1.274,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,ai_system,10.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,ai_system,10.0,1.328,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.348,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,2.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,ai_system,2.0,0.35,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,2.0,0.346,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,ai_system,2.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,ai_system,2.0,0.352,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,ai_system,20.0,3.48,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,20.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,ai_system,20.0,0.955,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,20.0,2.104,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,ai_system,20.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,ai_system,20.0,2.076,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.87,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,ai_system,5.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,ai_system,5.0,0.67,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,ai_system,5.0,0.786,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,ai_system,5.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,ai_system,5.0,0.786,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,human,10.0,1.74,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,human,10.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,human,10.0,0.9525,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,human,10.0,0.976,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,human,10.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,human,10.0,1.328,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,human,2.0,0.348,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,human,2.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,human,2.0,0.35,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,human,2.0,0.396,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,human,2.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,human,2.0,0.352,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,human,20.0,3.48,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,human,20.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
hidden,human,20.0,0.955,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,human,20.0,1.496,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,human,20.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,human,20.0,2.076,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,human,5.0,0.87,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
hidden,human,5.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
