label,task,model_alias,policy,lambda,leakage_rate,verification_coverage,normalized_loss,best_observed_loss,best_observed_policy,regret_vs_best_observed,is_best_observed
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.01,0.024,0.646,0.03046,0.00924,displayed_0.70,0.021220000000000003,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.01,0.038,0.57,0.043699999999999996,0.00924,displayed_0.70,0.03446,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.02,0.028,0.654,0.041080000000000005,0.01848,displayed_0.70,0.022600000000000006,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.02,0.01,0.794,0.02588,0.01848,displayed_0.70,0.0074,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.02,0.0,0.924,0.01848,0.01848,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.02,0.012,0.8,0.028,0.01848,displayed_0.70,0.00952,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.02,0.014,0.776,0.02952,0.01848,displayed_0.70,0.011040000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.02,0.024,0.646,0.03692,0.01848,displayed_0.70,0.01844,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.02,0.038,0.57,0.0494,0.01848,displayed_0.70,0.03092,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.05,0.028,0.654,0.060700000000000004,0.046200000000000005,displayed_0.70,0.014499999999999999,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.05,0.01,0.794,0.04970000000000001,0.046200000000000005,displayed_0.70,0.003500000000000003,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.05,0.0,0.924,0.046200000000000005,0.046200000000000005,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.05,0.012,0.8,0.052000000000000005,0.046200000000000005,displayed_0.70,0.0058,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.05,0.014,0.776,0.0528,0.046200000000000005,displayed_0.70,0.006599999999999995,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.05,0.024,0.646,0.0563,0.046200000000000005,displayed_0.70,0.010099999999999998,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.05,0.038,0.57,0.0665,0.046200000000000005,displayed_0.70,0.0203,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.1,0.028,0.654,0.0934,0.08860000000000001,displayed_0.95,0.004799999999999985,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.1,0.01,0.794,0.08940000000000001,0.08860000000000001,displayed_0.95,0.0007999999999999952,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.1,0.0,0.924,0.09240000000000001,0.08860000000000001,displayed_0.95,0.003799999999999998,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.1,0.012,0.8,0.09200000000000001,0.08860000000000001,displayed_0.95,0.0034000000000000002,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.1,0.014,0.776,0.0916,0.08860000000000001,displayed_0.95,0.002999999999999989,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.1,0.024,0.646,0.08860000000000001,0.08860000000000001,displayed_0.95,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.1,0.038,0.57,0.095,0.08860000000000001,displayed_0.95,0.006399999999999989,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.2,0.028,0.654,0.1588,0.152,displayed_0.99,0.0068000000000000005,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.2,0.01,0.794,0.16880000000000003,0.152,displayed_0.99,0.016800000000000037,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.2,0.0,0.924,0.18480000000000002,0.152,displayed_0.99,0.032800000000000024,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.2,0.012,0.8,0.17200000000000004,0.152,displayed_0.99,0.020000000000000046,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.2,0.014,0.776,0.16920000000000002,0.152,displayed_0.99,0.01720000000000002,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.2,0.024,0.646,0.1532,0.152,displayed_0.99,0.0012000000000000066,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.2,0.038,0.57,0.152,0.152,displayed_0.99,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.5,0.028,0.654,0.35500000000000004,0.32299999999999995,displayed_0.99,0.032000000000000084,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.5,0.01,0.794,0.40700000000000003,0.32299999999999995,displayed_0.99,0.08400000000000007,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.5,0.0,0.924,0.462,0.32299999999999995,displayed_0.99,0.13900000000000007,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.5,0.012,0.8,0.41200000000000003,0.32299999999999995,displayed_0.99,0.08900000000000008,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.5,0.014,0.776,0.402,0.32299999999999995,displayed_0.99,0.07900000000000007,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.5,0.024,0.646,0.34700000000000003,0.32299999999999995,displayed_0.99,0.024000000000000077,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.5,0.038,0.57,0.32299999999999995,0.32299999999999995,displayed_0.99,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,1.0,0.028,0.654,0.682,0.608,displayed_0.99,0.07400000000000007,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,1.0,0.01,0.794,0.804,0.608,displayed_0.99,0.19600000000000006,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,1.0,0.0,0.924,0.924,0.608,displayed_0.99,0.31600000000000006,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,1.0,0.012,0.8,0.812,0.608,displayed_0.99,0.20400000000000007,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,1.0,0.014,0.776,0.79,0.608,displayed_0.99,0.18200000000000005,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,1.0,0.024,0.646,0.67,0.608,displayed_0.99,0.062000000000000055,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,1.0,0.038,0.57,0.608,0.608,displayed_0.99,0.0,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,hidden,0.001,0.25874125874125875,0.32517482517482516,0.25906643356643355,0.10902097902097901,displayed_0.70,0.15004545454545454,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,true_q_visible,0.001,0.2972027972027972,0.2727272727272727,0.29747552447552444,0.10902097902097901,displayed_0.70,0.18845454545454543,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,0.001,0.10839160839160839,0.6293706293706294,0.10902097902097901,0.10902097902097901,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,0.001,0.1888111888111888,0.44405594405594406,0.18925524475524474,0.10902097902097901,displayed_0.70,0.08023426573426573,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,0.001,0.21328671328671328,0.3776223776223776,0.21366433566433565,0.10902097902097901,displayed_0.70,0.10464335664335664,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,0.001,0.27972027972027974,0.2902097902097902,0.2800104895104895,0.10902097902097901,displayed_0.70,0.1709895104895105,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,0.001,0.32867132867132864,0.24125874125874125,0.3289125874125874,0.10902097902097901,displayed_0.70,0.21989160839160837,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,hidden,0.002,0.25874125874125875,0.32517482517482516,0.2593916083916084,0.10965034965034964,displayed_0.70,0.14974125874125876,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,true_q_visible,0.002,0.2972027972027972,0.2727272727272727,0.29774825174825176,0.10965034965034964,displayed_0.70,0.18809790209790211,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,0.002,0.10839160839160839,0.6293706293706294,0.10965034965034964,0.10965034965034964,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,0.002,0.1888111888111888,0.44405594405594406,0.1896993006993007,0.10965034965034964,displayed_0.70,0.08004895104895104,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,0.002,0.21328671328671328,0.3776223776223776,0.21404195804195802,0.10965034965034964,displayed_0.70,0.10439160839160838,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,0.002,0.27972027972027974,0.2902097902097902,0.28030069930069934,0.10965034965034964,displayed_0.70,0.1706503496503497,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,0.002,0.32867132867132864,0.24125874125874125,0.32915384615384613,0.10965034965034964,displayed_0.70,0.2195034965034965,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,hidden,0.005,0.25874125874125875,0.32517482517482516,0.26036713286713287,0.11153846153846153,displayed_0.70,0.14882867132867134,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,true_q_visible,0.005,0.2972027972027972,0.2727272727272727,0.29856643356643353,0.11153846153846153,displayed_0.70,0.187027972027972,False
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,0.005,0.10839160839160839,0.6293706293706294,0.11153846153846153,0.11153846153846153,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,0.005,0.1888111888111888,0.44405594405594406,0.19103146853146852,0.11153846153846153,displayed_0.70,0.07949300699300699,False
