confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,human,10.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,human,10.0,1.145,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,human,2.0,0.31,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,human,2.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,human,2.0,0.3375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,human,2.0,0.35,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,human,2.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,human,2.0,0.32,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,human,20.0,3.1,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,human,20.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,human,20.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,human,20.0,1.355,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,human,20.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,human,20.0,1.815,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,human,5.0,0.775,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
hidden,human,5.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
hidden,human,5.0,0.84375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.6,openai_gpt56_sol,200,direct,v2_owner_match_v1
hidden,human,5.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
hidden,human,5.0,0.7,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,human,10.0,1.55,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,human,10.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,1.145,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,human,10.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,human,10.0,1.145,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,human,2.0,0.31,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,human,2.0,0.3375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.325,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,human,2.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,human,2.0,0.32,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,human,20.0,3.1,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,human,20.0,0.96875,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,1.995,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,human,20.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,human,20.0,1.815,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
visible,human,5.0,0.775,openai_gpt56_sol,200,always_use_unverified,v2_owner_match_v1
visible,human,5.0,1.0,openai_gpt56_sol,200,always_verify,v2_owner_match_v1
visible,human,5.0,0.84375,openai_gpt56_sol,160,calibrated_confidence,v2_owner_match_v1
visible,human,5.0,0.7,openai_gpt56_sol,200,direct,v2_owner_match_v1
visible,human,5.0,0.155,openai_gpt56_sol,200,oracle,v2_owner_match_v1
visible,human,5.0,0.7,openai_gpt56_sol,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,10.0,3.5,xai_grok420_nonreasoning,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,xai_grok420_nonreasoning,200,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,1.0,xai_grok420_nonreasoning,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,1.01,xai_grok420_nonreasoning,200,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.35,xai_grok420_nonreasoning,200,oracle,v2_owner_match_v1
hidden,ai_system,10.0,0.965,xai_grok420_nonreasoning,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.7,xai_grok420_nonreasoning,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,xai_grok420_nonreasoning,200,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.675,xai_grok420_nonreasoning,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.96,xai_grok420_nonreasoning,200,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.35,xai_grok420_nonreasoning,200,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.64,xai_grok420_nonreasoning,200,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,7.0,xai_grok420_nonreasoning,200,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,xai_grok420_nonreasoning,200,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,1.0,xai_grok420_nonreasoning,160,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.055,xai_grok420_nonreasoning,200,direct,v2_owner_match_v1
