model_id,model_label,error_cost,decision_owner,policy,policy_detail,visibility,verification_rate,wrong_unverified_rate,correct_verify_rate,error_catch_rate,mean_realized_cost,mean_cost_ci_lower,mean_cost_ci_upper,n,n_wrong,brier,auroc,ece_10bin
openai_gpt56_sol,GPT-5.6 Sol,20.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.219,0.5517241379310345,0.17070217917675545,0.4482758620689655,2.139,1.649,2.6840249999999997,500,87,,,
openai_gpt56_sol,GPT-5.6 Sol,,na,score_quality,raw_q,na,,,,,,,,500,87,0.15789709802,0.6835323258467619,0.13584580000000002
openai_gpt56_sol,GPT-5.6 Sol,,na,score_quality,isotonic_cv,na,,,,,,,,500,87,0.13576000070099078,0.6527650218474298,0.032996374178041264
openai_gpt56_sol,GPT-5.6 Sol,,na,score_quality,platt_cv,na,,,,,,,,500,87,0.14049839530965982,0.6516239458963013,0.018297417761638173
xai_grok420_nonreasoning,Grok 4.20,2.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.252,0.5674157303370786,0.15217391304347827,0.43258426966292135,0.656,0.588,0.726,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.296,0.5168539325842696,0.19254658385093168,0.48314606741573035,0.664,0.6,0.734,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.258,0.5561797752808989,0.15527950310559005,0.4438202247191011,0.654,0.586,0.722,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.934,0.022471910112359605,0.9099378881987578,0.9775280898876404,0.95,0.926,0.972,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,ai_system,actual_visible,visible_ai_system,visible,0.81,0.1179775280898876,0.7701863354037267,0.8820224719101124,0.894,0.858,0.93,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,human,actual_hidden,hidden_human,hidden,0.964,0.0,0.9440993788819876,1.0,0.964,0.946,0.98,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,human,actual_visible,visible_human,visible,0.8,0.101123595505618,0.7453416149068323,0.898876404494382,0.872,0.834,0.908,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.9490000000000001,0.011235955056179803,0.9270186335403727,0.9887640449438202,0.957,0.941,0.973,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,2.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.805,0.1095505617977528,0.7577639751552795,0.8904494382022472,0.883,0.85,0.916,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.658,0.1235955056179775,0.5372670807453416,0.8764044943820225,0.878,0.796,0.972,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.696,0.0842696629213483,0.5745341614906833,0.9157303370786517,0.846,0.772,0.922,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.666,0.1179775280898876,0.546583850931677,0.8820224719101124,0.876,0.794,0.966,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.956,0.005617977528089901,0.9347826086956522,0.9943820224719101,0.966,0.944,0.992,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,ai_system,actual_visible,visible_ai_system,visible,0.85,0.0842696629213483,0.8136645962732919,0.9157303370786517,1.0,0.936,1.07,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,human,actual_hidden,hidden_human,hidden,0.966,0.005617977528089901,0.9503105590062112,0.9943820224719101,0.976,0.954,1.0,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,human,actual_visible,visible_human,visible,0.824,0.061797752808988804,0.7608695652173914,0.9382022471910112,0.934,0.876,0.998,500,178,,,
xai_grok420_nonreasoning,Grok 4.20,5.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.961,0.005617977528089901,0.9425465838509317,0.9943820224719101,0.971,0.954,0.989,500,178,,,
